#ell    N_ell^TT    N_ell^EE    N_ell^BB    C_ell^TT(delensed)  N_ell^dd    N_ell^phiphi
6.400000000000000000e+01 7.615918930286308247e-13 1.523183786057261649e-12 1.523183786057261649e-12 2.690675000000000150e+00 5.185518851409068979e-15 1.246518954665641581e-18
6.500000000000000000e+01 7.615934038143880287e-13 1.523186807628776057e-12 1.523186807628776057e-12 2.643638000000000154e+00 5.027335822363981174e-15 1.171873152066196031e-18
6.600000000000000000e+01 7.615949378460692774e-13 1.523189875692138555e-12 1.523189875692138555e-12 2.598644000000000176e+00 4.876286118698550798e-15 1.102733179262449217e-18
6.700000000000000000e+01 7.615964951238155307e-13 1.523192990247631061e-12 1.523192990247631061e-12 2.555366999999999944e+00 4.731947130086362550e-15 1.038618773065487926e-18
6.800000000000000000e+01 7.615980756477690611e-13 1.523196151295538122e-12 1.523196151295538122e-12 2.514111000000000207e+00 4.593986759677847469e-15 9.791105625911866189e-19
6.900000000000000000e+01 7.615996794180746658e-13 1.523199358836149332e-12 1.523199358836149332e-12 2.474466000000000054e+00 4.462036238417368429e-15 9.238170265874469249e-19
7.000000000000000000e+01 7.616013064348789593e-13 1.523202612869757919e-12 1.523202612869757919e-12 2.436532000000000142e+00 4.335696727324840560e-15 8.723735869868893970e-19
7.100000000000000000e+01 7.616029566983313833e-13 1.523205913396662767e-12 1.523205913396662767e-12 2.400028999999999968e+00 4.214654449119459998e-15 8.244629204067801109e-19
7.200000000000000000e+01 7.616046302085825913e-13 1.523209260417165183e-12 1.523209260417165183e-12 2.364881000000000011e+00 4.098617260094106401e-15 7.797978044319075582e-19
7.300000000000000000e+01 7.616063269657861652e-13 1.523212653931572330e-12 1.523212653931572330e-12 2.330931000000000086e+00 3.987312884531785783e-15 7.381178979140662907e-19
7.400000000000000000e+01 7.616080469700971003e-13 1.523216093940194201e-12 1.523216093940194201e-12 2.298121000000000080e+00 3.880487314979936666e-15 6.991869035999885672e-19
7.500000000000000000e+01 7.616097902216731183e-13 1.523219580443346237e-12 1.523219580443346237e-12 2.266477000000000075e+00 3.777903360811817844e-15 6.627900633003188282e-19
7.600000000000000000e+01 7.616115567206737584e-13 1.523223113441347517e-12 1.523223113441347517e-12 2.235862000000000016e+00 3.679339329571073123e-15 6.287319428521998397e-19
7.700000000000000000e+01 7.616133464672608823e-13 1.523226692934521765e-12 1.523226692934521765e-12 2.206304999999999961e+00 3.584587827395532070e-15 5.968344700958262190e-19
7.800000000000000000e+01 7.616151594615982700e-13 1.523230318923196540e-12 1.523230318923196540e-12 2.177831999999999990e+00 3.493454666387223287e-15 5.669351941556675138e-19
7.900000000000000000e+01 7.616169957038518223e-13 1.523233991407703645e-12 1.523233991407703645e-12 2.150240000000000151e+00 3.405757868168844333e-15 5.388857386343108656e-19
8.000000000000000000e+01 7.616188551941899641e-13 1.523237710388379928e-12 1.523237710388379928e-12 2.123634000000000022e+00 3.321326754069622641e-15 5.125504250107442281e-19
8.100000000000000000e+01 7.616207379327825339e-13 1.523241475865565068e-12 1.523241475865565068e-12 2.097895999999999983e+00 3.240001113438730266e-15 4.878050456848435040e-19
8.200000000000000000e+01 7.616226439198022987e-13 1.523245287839604597e-12 1.523245287839604597e-12 2.073053999999999952e+00 3.161630442511681828e-15 4.645357688086514711e-19
8.300000000000000000e+01 7.616245731554235398e-13 1.523249146310847080e-12 1.523249146310847080e-12 2.048999999999999932e+00 3.086073247071434234e-15 4.426381593619382736e-19
8.400000000000000000e+01 7.616265256398230631e-13 1.523253051279646126e-12 1.523253051279646126e-12 2.025764999999999816e+00 3.013196402865560501e-15 4.220163029223473805e-19
8.500000000000000000e+01 7.616285013731795930e-13 1.523257002746359186e-12 1.523257002746359186e-12 2.003182999999999936e+00 2.942874568376465486e-15 4.025820202977381003e-19
8.600000000000000000e+01 7.616305003556738732e-13 1.523261000711347746e-12 1.523261000711347746e-12 1.981290999999999913e+00 2.874989645103585983e-15 3.842541626708882613e-19
8.700000000000000000e+01 7.616325225874890709e-13 1.523265045174978142e-12 1.523265045174978142e-12 1.960244000000000097e+00 2.809430281014458092e-15 3.669579781889313415e-19
8.800000000000000000e+01 7.616345680688104738e-13 1.523269136137620948e-12 1.523269136137620948e-12 1.939643000000000006e+00 2.746091413263059001e-15 3.506245420407379003e-19
8.900000000000000000e+01 7.616366367998251870e-13 1.523273273599650374e-12 1.523273273599650374e-12 1.919766000000000084e+00 2.684873846666149055e-15 3.351902430294817510e-19
9.000000000000000000e+01 7.616387287807227392e-13 1.523277457561445478e-12 1.523277457561445478e-12 1.900466999999999906e+00 2.625683864777240860e-15 3.205963204856215831e-19
9.100000000000000000e+01 7.616408440116946783e-13 1.523281688023389357e-12 1.523281688023389357e-12 1.881667999999999896e+00 2.568474619799222337e-15 3.067934328474942998e-19
9.200000000000000000e+01 7.616429824929343700e-13 1.523285964985868740e-12 1.523285964985868740e-12 1.863458000000000059e+00 2.513118718659572219e-15 2.937258904464203361e-19
9.300000000000000000e+01 7.616451442246382091e-13 1.523290288449276418e-12 1.523290288449276418e-12 1.845814000000000066e+00 2.459536921660068524e-15 2.813471655982691336e-19
