#ell    N_ell^TT    N_ell^EE    N_ell^BB    C_ell^TT(delensed)  N_ell^dd    N_ell^phiphi
6.200000000000000000e+01 8.462099346603760154e-10 1.692419869320752031e-09 1.692419869320752031e-09 2.790566000000000102e+00 1.761060029839740196e-13 4.508602226932258611e-17
6.300000000000000000e+01 8.462115616540664777e-10 1.692423123308132955e-09 1.692423123308132955e-09 2.739421000000000106e+00 1.705742218906851678e-13 4.230511455622151716e-17
6.400000000000000000e+01 8.462132144762567068e-10 1.692426428952513414e-09 1.692426428952513414e-09 2.690675999999999846e+00 1.652994502863265173e-13 3.973544478036695534e-17
6.500000000000000000e+01 8.462148931270978700e-10 1.692429786254195740e-09 1.692429786254195740e-09 2.643639999999999990e+00 1.602660027023577586e-13 3.735804258796218132e-17
6.600000000000000000e+01 8.462165976067438229e-10 1.692433195213487646e-09 1.692433195213487646e-09 2.598646000000000011e+00 1.554593725188360771e-13 3.515589609200272876e-17
6.700000000000000000e+01 8.462183279153506957e-10 1.692436655830701391e-09 1.692436655830701391e-09 2.555368000000000084e+00 1.508661272139437871e-13 3.311372414704648642e-17
6.800000000000000000e+01 8.462200840530767902e-10 1.692440168106153580e-09 1.692440168106153580e-09 2.514113000000000042e+00 1.464780350423873059e-13 3.121867754526583363e-17
6.900000000000000000e+01 8.462218660200830965e-10 1.692443732040166193e-09 1.692443732040166193e-09 2.474467999999999890e+00 1.422831473502525463e-13 2.945820856112889225e-17
7.000000000000000000e+01 8.462236738165323622e-10 1.692447347633064724e-09 1.692447347633064724e-09 2.436533999999999978e+00 1.382664039011436790e-13 2.782020199218182593e-17
7.100000000000000000e+01 8.462255074425905406e-10 1.692451014885181081e-09 1.692451014885181081e-09 2.400030000000000108e+00 1.344178497501975565e-13 2.629457154737823980e-17
7.200000000000000000e+01 8.462273668984252390e-10 1.692454733796850478e-09 1.692454733796850478e-09 2.364882000000000151e+00 1.307282159985613019e-13 2.487218721433814659e-17
7.300000000000000000e+01 8.462292521842069601e-10 1.692458504368413920e-09 1.692458504368413920e-09 2.330931999999999782e+00 1.271888638196844854e-13 2.354477301364022528e-17
7.400000000000000000e+01 8.462311633001080677e-10 1.692462326600216135e-09 1.692462326600216135e-09 2.298122000000000220e+00 1.237917337426263410e-13 2.230481689056330602e-17
7.500000000000000000e+01 8.462331002463036138e-10 1.692466200492607228e-09 1.692466200492607228e-09 2.266478000000000215e+00 1.205292996355492831e-13 2.114549116413145250e-17
7.600000000000000000e+01 8.462350630229710286e-10 1.692470126045942057e-09 1.692470126045942057e-09 2.235863000000000156e+00 1.173945268980541211e-13 2.006058217670098061e-17
7.700000000000000000e+01 8.462370516302900173e-10 1.692474103260580035e-09 1.692474103260580035e-09 2.206306000000000100e+00 1.143808344280571844e-13 1.904442797669949744e-17
7.800000000000000000e+01 8.462390660684425594e-10 1.692478132136885119e-09 1.692478132136885119e-09 2.177831999999999990e+00 1.114820599786813844e-13 1.809186302802359298e-17
7.900000000000000000e+01 8.462411063376133232e-10 1.692482212675226646e-09 1.692482212675226646e-09 2.150240000000000151e+00 1.086924285641543499e-13 1.719816907660670121e-17
8.000000000000000000e+01 8.462431724379889411e-10 1.692486344875977882e-09 1.692486344875977882e-09 2.123634000000000022e+00 1.060065236118167724e-13 1.635903142157666248e-17
8.100000000000000000e+01 8.462452643697585274e-10 1.692490528739517055e-09 1.692490528739517055e-09 2.097895999999999983e+00 1.034192605907831922e-13 1.557049993838952157e-17
8.200000000000000000e+01 8.462473821331137812e-10 1.692494764266227562e-09 1.692494764266227562e-09 2.073053999999999952e+00 1.009258628771833806e-13 1.482895428697963277e-17
8.300000000000000000e+01 8.462495257282485729e-10 1.692499051456497146e-09 1.692499051456497146e-09 2.048999999999999932e+00 9.852183964177972976e-14 1.413107281150024721e-17
8.400000000000000000e+01 8.462516951553590477e-10 1.692503390310718095e-09 1.692503390310718095e-09 2.025764999999999816e+00 9.620296556856358270e-14 1.347380470147949252e-17
8.500000000000000000e+01 8.462538904146441426e-10 1.692507780829288285e-09 1.692507780829288285e-09 2.003182999999999936e+00 9.396526223307407612e-14 1.285434503872422410e-17
8.600000000000000000e+01 8.462561115063044489e-10 1.692512223012608898e-09 1.692512223012608898e-09 1.981290999999999913e+00 9.180498098699628126e-14 1.227011240136277526e-17
