#    L    TT             EE             BB             TE          
   129    0.37831E+04    0.10891E+01    0.48916E-02   -0.41105E+02
   130    0.38188E+04    0.10943E+01    0.49715E-02   -0.41561E+02
   131    0.38546E+04    0.10991E+01    0.50522E-02   -0.42003E+02
   132    0.38904E+04    0.11034E+01    0.51337E-02   -0.42429E+02
   133    0.39261E+04    0.11072E+01    0.52160E-02   -0.42840E+02
   134    0.39618E+04    0.11106E+01    0.52991E-02   -0.43231E+02
   135    0.39975E+04    0.11135E+01    0.53831E-02   -0.43607E+02
   136    0.40331E+04    0.11158E+01    0.54679E-02   -0.43962E+02
   137    0.40686E+04    0.11178E+01    0.55536E-02   -0.44300E+02
   138    0.41041E+04    0.11191E+01    0.56400E-02   -0.44619E+02
   139    0.41393E+04    0.11201E+01    0.57274E-02   -0.44919E+02
   140    0.41746E+04    0.11206E+01    0.58156E-02   -0.45199E+02
   141    0.42097E+04    0.11205E+01    0.59047E-02   -0.45458E+02
   142    0.42447E+04    0.11199E+01    0.59946E-02   -0.45696E+02
   143    0.42797E+04    0.11189E+01    0.60854E-02   -0.45914E+02
   144    0.43145E+04    0.11174E+01    0.61771E-02   -0.46110E+02
   145    0.43491E+04    0.11155E+01    0.62697E-02   -0.46285E+02
   146    0.43837E+04    0.11130E+01    0.63632E-02   -0.46437E+02
   147    0.44180E+04    0.11101E+01    0.64576E-02   -0.46566E+02
   148    0.44521E+04    0.11068E+01    0.65528E-02   -0.46673E+02
   149    0.44861E+04    0.11029E+01    0.66490E-02   -0.46757E+02
   150    0.45198E+04    0.10987E+01    0.67461E-02   -0.46814E+02
   151    0.45534E+04    0.10940E+01    0.68440E-02   -0.46850E+02
   152    0.45866E+04    0.10889E+01    0.69429E-02   -0.46860E+02
   153    0.46197E+04    0.10833E+01    0.70428E-02   -0.46845E+02
   154    0.46525E+04    0.10774E+01    0.71435E-02   -0.46805E+02
   155    0.46851E+04    0.10711E+01    0.72451E-02   -0.46740E+02
   156    0.47174E+04    0.10644E+01    0.73477E-02   -0.46650E+02
   157    0.47495E+04    0.10573E+01    0.74512E-02   -0.46534E+02
   158    0.47813E+04    0.10500E+01    0.75557E-02   -0.46392E+02
   159    0.48128E+04    0.10422E+01    0.76611E-02   -0.46224E+02
   160    0.48441E+04    0.10341E+01    0.77674E-02   -0.46028E+02
   161    0.48751E+04    0.10258E+01    0.78746E-02   -0.45807E+02
   162    0.49059E+04    0.10170E+01    0.79828E-02   -0.45560E+02
   163    0.49364E+04    0.10080E+01    0.80920E-02   -0.45285E+02
   164    0.49665E+04    0.99881E+00    0.82020E-02   -0.44985E+02
   165    0.49965E+04    0.98927E+00    0.83131E-02   -0.44656E+02
   166    0.50261E+04    0.97958E+00    0.84250E-02   -0.44301E+02
   167    0.50555E+04    0.96951E+00    0.85379E-02   -0.43919E+02
   168    0.50844E+04    0.95944E+00    0.86518E-02   -0.43510E+02
   169    0.51130E+04    0.94907E+00    0.87666E-02   -0.43072E+02
   170    0.51413E+04    0.93861E+00    0.88823E-02   -0.42608E+02
   171    0.51692E+04    0.92808E+00    0.89990E-02   -0.42114E+02
   172    0.51966E+04    0.91739E+00    0.91166E-02   -0.41593E+02
   173    0.52236E+04    0.90655E+00    0.92351E-02   -0.41045E+02
   174    0.52503E+04    0.89585E+00    0.93546E-02   -0.40468E+02
   175    0.52766E+04    0.88500E+00    0.94750E-02   -0.39864E+02
   176    0.53023E+04    0.87421E+00    0.95963E-02   -0.39231E+02
