#    L    TT             EE             BB             TE             PP             TP             EP          
    89    0.24370E+04    0.60179E+00    0.00000E+00   -0.16369E+02    0.10238E-06    0.42539E-03   -0.91000E-06
    90    0.24670E+04    0.61725E+00    0.00000E+00   -0.17003E+02    0.10172E-06    0.41983E-03   -0.90058E-06
    91    0.24973E+04    0.63271E+00    0.00000E+00   -0.17642E+02    0.10106E-06    0.41438E-03   -0.89177E-06
    92    0.25278E+04    0.64817E+00    0.00000E+00   -0.18286E+02    0.10040E-06    0.40906E-03   -0.88417E-06
    93    0.25586E+04    0.66360E+00    0.00000E+00   -0.18936E+02    0.99751E-07    0.40385E-03   -0.87773E-06
    94    0.25895E+04    0.67898E+00    0.00000E+00   -0.19589E+02    0.99102E-07    0.39876E-03   -0.87241E-06
    95    0.26207E+04    0.69430E+00    0.00000E+00   -0.20247E+02    0.98456E-07    0.39377E-03   -0.86817E-06
    96    0.26519E+04    0.70955E+00    0.00000E+00   -0.20908E+02    0.97814E-07    0.38888E-03   -0.86496E-06
    97    0.26835E+04    0.72471E+00    0.00000E+00   -0.21573E+02    0.97176E-07    0.38410E-03   -0.86274E-06
    98    0.27154E+04    0.73978E+00    0.00000E+00   -0.22238E+02    0.96542E-07    0.37942E-03   -0.86145E-06
    99    0.27473E+04    0.75472E+00    0.00000E+00   -0.22907E+02    0.95911E-07    0.37484E-03   -0.86107E-06
   100    0.27796E+04    0.76953E+00    0.00000E+00   -0.23575E+02    0.95285E-07    0.37034E-03   -0.86154E-06
   101    0.28120E+04    0.78427E+00    0.00000E+00   -0.24246E+02    0.94662E-07    0.36594E-03   -0.86281E-06
   102    0.28449E+04    0.79879E+00    0.00000E+00   -0.24916E+02    0.94043E-07    0.36162E-03   -0.86486E-06
   103    0.28777E+04    0.81316E+00    0.00000E+00   -0.25588E+02    0.93428E-07    0.35739E-03   -0.86762E-06
   104    0.29108E+04    0.82738E+00    0.00000E+00   -0.26257E+02    0.92817E-07    0.35324E-03   -0.87106E-06
   105    0.29440E+04    0.84139E+00    0.00000E+00   -0.26926E+02    0.92210E-07    0.34916E-03   -0.87513E-06
   106    0.29774E+04    0.85525E+00    0.00000E+00   -0.27593E+02    0.91607E-07    0.34516E-03   -0.87980E-06
   107    0.30108E+04    0.86881E+00    0.00000E+00   -0.28257E+02    0.91009E-07    0.34123E-03   -0.88500E-06
   108    0.30445E+04    0.88216E+00    0.00000E+00   -0.28919E+02    0.90414E-07    0.33736E-03   -0.89071E-06
   109    0.30784E+04    0.89521E+00    0.00000E+00   -0.29578E+02    0.89824E-07    0.33356E-03   -0.89688E-06
   110    0.31124E+04    0.90796E+00    0.00000E+00   -0.30232E+02    0.89238E-07    0.32983E-03   -0.90345E-06
   111    0.31465E+04    0.92050E+00    0.00000E+00   -0.30882E+02    0.88657E-07    0.32615E-03   -0.91040E-06
   112    0.31808E+04    0.93274E+00    0.00000E+00   -0.31527E+02    0.88080E-07    0.32253E-03   -0.91765E-06
   113    0.32153E+04    0.94468E+00    0.00000E+00   -0.32167E+02    0.87507E-07    0.31897E-03   -0.92517E-06
   114    0.32499E+04    0.95626E+00    0.00000E+00   -0.32800E+02    0.86938E-07    0.31546E-03   -0.93288E-06
